Nome_Companhia,CNPJ_Companhia,Categoria,Tipo,Assunto,Data_Referencia,Data_Entrega,Link_Download
PETRO RIO S.A.,10.629.105/0001-68,Fato Relevante,,OFERTA PÚBLICA DE AÇÕES COM ESFORÇOS RESTRITOS (FOLLOW-ON),2021-01-18,2021-01-19,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=823723&numSequencia=348461&numVersao=2
PETRO RIO S.A.,10.629.105/0001-68,Fato Relevante,,CONCLUSÃO DE AQUISIÇÃO DE 30% DO CAMPO DE FRADE,2021-01-21,2021-01-21,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=824361&numSequencia=349099&numVersao=1
PETRO RIO S.A.,10.629.105/0001-68,Fato Relevante,,OFERTA PÚBLICA DE AÇÕES COM ESFORÇOS RESTRITOS (FOLLOW-ON),2021-01-28,2021-01-29,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=825811&numSequencia=350549&numVersao=1
PETRO RIO S.A.,10.629.105/0001-68,Fato Relevante,,CONCLUSÃO DA AQUISIÇÃO DE 30% DO CAMPO DE FRADE,2021-02-05,2021-02-05,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=828057&numSequencia=352795&numVersao=1
PETRO RIO S.A.,10.629.105/0001-68,Fato Relevante,,AQUISIÇÃO DE PARTICIPAÇÃO EM WAHOO,2021-03-04,2021-03-04,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=838705&numSequencia=363443&numVersao=1
PETRO RIO S.A.,10.629.105/0001-68,Fato Relevante,,ADIAMENTO DA ASSEMBLEIA GERAL ORDINÁRIA,2021-03-25,2021-03-25,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=845989&numSequencia=370726&numVersao=1
PETRO RIO S.A.,10.629.105/0001-68,Fato Relevante,,NOVA CONVOCAÇÃO DA ASSEMBLEIA GERAL ORDINÁRIA,2021-04-05,2021-04-05,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=850505&numSequencia=375242&numVersao=1
PETRO RIO S.A.,10.629.105/0001-68,Fato Relevante,,CERTIFICAÇÃO DE RESERVAS E RECURSOS,2021-04-12,2021-04-12,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=853176&numSequencia=377913&numVersao=1
PETRO RIO S.A.,10.629.105/0001-68,Fato Relevante,,Alteração na Administração da Companhia,2021-04-12,2021-04-12,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=853242&numSequencia=377979&numVersao=1
PETRO RIO S.A.,10.629.105/0001-68,Fato Relevante,,Desdobramento das ações,2021-04-30,2021-05-03,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=861996&numSequencia=386733&numVersao=2
