CNPJ_Companhia,Nome_Companhia,Codigo_CVM,Data_Referencia,Categoria,Tipo,Especie,Assunto,Data_Entrega,Tipo_Apresentacao,Protocolo_Entrega,Versao,Link_Download
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-04-20,Assembleia,AGO,Ata,Destinação dos Resultados||Eleição de Membros dos Conselhos de Administração e Fiscal||Remuneração dos Administradores e Conselheiros||Tomada de Contas-Votação do Relatório da Administração e das Demonstrações Financeiras,2021-04-29,RE - Reapresentação Espontânea,022187IPE200420210204431511-38,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=859919&numSequencia=384656&numVersao=2
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-04-20,Assembleia,AGO,Boletim de voto a distância,,2021-04-06,AP - Apresentação,022187IPE200420210104429211-15,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=850969&numSequencia=375706&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-04-20,Assembleia,AGO,Edital de Convocação,Destinação dos Resultados||Remuneração dos Administradores e Conselheiros||Tomada de Contas-Votação do Relatório da Administração e das Demonstrações Financeiras,2021-04-05,AP - Apresentação,022187IPE200420210104429111-29,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=850504&numSequencia=375241&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-04-20,Assembleia,AGO,Mapa consolidado de voto a distância,Assembleia Geral Ordinária de 20 de abril de 2021,2021-04-20,RE - Reapresentação Espontânea,022187IPE200420210204430511-23,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=855324&numSequencia=380061&numVersao=2
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-04-20,Assembleia,AGO,Mapa do Escriturador,Assembleia Geral Ordinária de 20 de abril de 2021,2021-04-19,AP - Apresentação,022187IPE200420210104430511-20,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=855091&numSequencia=379828&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-04-20,Assembleia,AGO,Mapa final de votação detalhado,Mapa final de votação detalhado,2021-04-29,AP - Apresentação,022187IPE200420210104431511-44,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=859705&numSequencia=384442&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-04-20,Assembleia,AGO,Mapa Final de Votação Sintético,Mapa Final de Votação Sintético - Assembleia Geral Ordinária,2021-04-20,AP - Apresentação,022187IPE200420210104430611-78,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=855668&numSequencia=380405&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-04-20,Assembleia,AGO,Proposta da Administração,Destinação dos Resultados||Remuneração dos Administradores e Conselheiros||Tomada de Contas-Votação do Relatório da Administração e das Demonstrações Financeiras,2021-04-05,AP - Apresentação,022187IPE200420210104429111-25,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=850503&numSequencia=375240&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-04-20,Assembleia,AGO,Sumário das Decisões,Destinação dos Resultados||Eleição de Membros dos Conselhos de Administração e Fiscal||Remuneração dos Administradores e Conselheiros||Tomada de Contas-Votação do Relatório da Administração e das Demonstrações Financeiras,2021-04-21,AP - Apresentação,022187IPE200420210104430711-44,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=855875&numSequencia=380612&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-01-04,Aviso aos Acionistas,Aumento de capital por subscrição privada deliberado em RCA,,,2021-01-05,RE - Reapresentação Espontânea,022187IPE040120210204428712-09,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=820335&numSequencia=345073&numVersao=2
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-04-15,Aviso aos Acionistas,Data prevista para a assembleia,,Data prevista da assembleia,2021-01-28,RE - Reapresentação Espontânea,022187IPE150420210204422312-42,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=825536&numSequencia=350274&numVersao=2
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-12-31,Calendário de Eventos Corporativos,,,,2021-04-06,RE - Reapresentação Espontânea,022187IPE311220210304417506-62,3,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=850993&numSequencia=375730&numVersao=3
10.629.105/0001-68,PETRO RIO S.A.,22187,2022-12-31,Calendário de Eventos Corporativos,,,,2021-11-24,AP - Apresentação,022187IPE311220220104452404-47,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=920105&numSequencia=444839&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-03-02,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,,Apresentação de Resultados 2020,2021-03-02,AP - Apresentação,022187IPE020320210104425710-97,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=837807&numSequencia=362545&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-04-06,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,,Apresentação Institucional 4T20,2021-04-12,RE - Reapresentação Espontânea,022187IPE060420210204435111-25,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=852993&numSequencia=377730&numVersao=2
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-03-31,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,,Apresentação de Resultados 1T21,2021-05-04,AP - Apresentação,022187IPE310320210104432010-72,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=862442&numSequencia=387179&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-05-20,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,,Apresentação Institucional 1T21,2021-05-20,AP - Apresentação,022187IPE200520210104433606-12,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=869925&numSequencia=394662&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-05-19,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,,Apresentação Institucional 1T21 (versão em inglês),2021-05-20,AP - Apresentação,022187IPE190520210104433605-96,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=869926&numSequencia=394663&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-06-30,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,,Apresentação de Resultados 2T21,2021-08-03,AP - Apresentação,022187IPE300620210104441105-96,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=888689&numSequencia=413425&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-01-12,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),"Declaração de Alienação de Participação Acionária Relevante - Art.12, §4º, da Instrução CVM nº358/02",,2021-01-12,AP - Apresentação,022187IPE120120210104420806-38,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=822061&numSequencia=346799&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-12-20,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),"Declaração de Alienação de Participação Acionária Relevante - Art.12, §4º, da Instrução CVM nº358/02",,2021-12-20,AP - Apresentação,022187IPE201220210104455010-88,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=927587&numSequencia=452321&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-08-31,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),Declaração de Aquisição de Participação Acionária Relevante - Art.12 da Instrução CVM nº358/02,,2021-08-31,AP - Apresentação,022187IPE310820210104443906-32,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=897217&numSequencia=421951&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-10-18,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),Declaração de Aquisição de Participação Acionária Relevante - Art.12 da Instrução CVM nº358/02,,2021-10-18,AP - Apresentação,022187IPE181020210104448705-76,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=907958&numSequencia=432692&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-12-02,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),Declaração de Aquisição de Participação Acionária Relevante - Art.12 da Instrução CVM nº358/02,,2021-12-02,AP - Apresentação,022187IPE021220210104453211-31,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=921845&numSequencia=446579&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-02-18,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Negociações atípicas de valores mobiliários,2021-02-18,AP - Apresentação,022187IPE180220210104424511-21,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=833109&numSequencia=357847&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-09-10,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Negociações atípicas de valores mobiliários,2021-09-10,AP - Apresentação,022187IPE100920210104444906-15,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=899940&numSequencia=424674&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-09-20,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Negociações atípicas de valores mobiliários,2021-09-20,AP - Apresentação,022187IPE200920210104445911-23,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=902227&numSequencia=426961&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-09-30,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Negociações atípicas de valores mobiliários,2021-09-30,AP - Apresentação,022187IPE300920210104446913-97,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=904545&numSequencia=429279&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-10-28,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Negociações atípicas de valores mobiliários,2021-10-28,AP - Apresentação,022187IPE281020210104449711-42,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=910991&numSequencia=435725&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-01-08,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Dados Operacionais - Dezembro/2020,2021-01-08,AP - Apresentação,022187IPE080120210104420411-87,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=821585&numSequencia=346323&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-02-08,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,DADOS OPERACIONAIS JANEIRO 2021,2021-02-08,AP - Apresentação,022187IPE080220210104423511-48,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=828615&numSequencia=353353&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-02-25,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Término de isenção IRPF,2021-02-25,AP - Apresentação,022187IPE250220210104425212-10,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=835931&numSequencia=360669&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-03-05,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,DADOS OPERACIONAIS FEVEREIRO 2021,2021-03-05,AP - Apresentação,022187IPE050320210104426011-12,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=839230&numSequencia=363968&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-04-07,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Dados Operacionais Março/2021,2021-04-12,RE - Reapresentação Espontânea,022187IPE070420210304429311-23,3,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=852992&numSequencia=377729&numVersao=3
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-06-08,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,DADOS OPERACIONAIS - MAIO/2021,2021-07-07,RE - Reapresentação Espontânea,022187IPE080620210204441411-30,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=882049&numSequencia=406786&numVersao=2
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-07-07,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Dados Operacionais Junho 2021,2021-07-07,RE - Reapresentação Espontânea,022187IPE070720210204438410-94,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=882050&numSequencia=406787&numVersao=2
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-05-07,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Dados operacionais Abril 2021,2021-07-07,RE - Reapresentação Espontânea,022187IPE070520210204438211-31,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=882055&numSequencia=406792&numVersao=2
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-07-13,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,CONTRATAÇÃO DE SONDA PARA PERFURAÇÃO EM FRADE E WAHOO,2021-07-13,RE - Reapresentação Espontânea,022187IPE130720210204439012-49,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=883629&numSequencia=408366&numVersao=2
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-08-06,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,DADOS OPERACIONAIS JULHO/2021,2021-08-06,AP - Apresentação,022187IPE060820210104441412-17,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=890450&numSequencia=415186&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-09-09,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Dados Operacionais Agosto 2021,2021-09-09,AP - Apresentação,022187IPE090920210104444811-27,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=899765&numSequencia=424499&numVersao=1
10.629.105/0001-68,PETRO RIO S.A.,22187,2021-10-05,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,,2021-10-05,AP - Apresentação,022187IPE051020210104447411-62,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=905496&numSequencia=430230&numVersao=1
